<attribute name>,RebalanceFlag,,,,,,,,,,,,,,,,,,,,,
<owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<association>,Portfolio Return,,,,,,,,,,,,,,,,,,,,,
<type>,Real Number,,,,,,,,,,,,,,,,,,,,,
<maximum age>,1 day,,,,,,,,,,,,,,,,,,,,,
<portfolio>,BK_CAE5EST_GEMLT_BTP,,,,,,,,,,,,,,,,,,,,,
<portfolio owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<date>,<value>,<currency>,,,,,,,,,,,,,,,,,,,,
1/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/30/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
1/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
2/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
